VCD info: dumpfile top.vcd opened for output.
Time	PC		Instr		ALU		RegWrite
t=1575000 PC=00000270 IADDR=00000270 IRDATA=00000013 INSTR=00000013
t=1585000 PC=00000274 IADDR=00000274 IRDATA=00000013 INSTR=00000013
t=1595000 PC=00000278 IADDR=00000278 IRDATA=00000013 INSTR=00000013
t=1605000 PC=0000027c IADDR=0000027c IRDATA=00000013 INSTR=00000013
t=1615000 PC=00000280 IADDR=00000280 IRDATA=00000013 INSTR=00000013
t=1625000 PC=00000284 IADDR=00000284 IRDATA=00000013 INSTR=00000013
t=1635000 PC=00000288 IADDR=00000288 IRDATA=00000013 INSTR=00000013
t=1645000 PC=0000028c IADDR=0000028c IRDATA=00000013 INSTR=00000013
t=1655000 PC=00000290 IADDR=00000290 IRDATA=00000013 INSTR=00000013
t=1665000 PC=00000294 IADDR=00000294 IRDATA=00000013 INSTR=00000013
t=1675000 PC=00000298 IADDR=00000298 IRDATA=00000013 INSTR=00000013
t=1685000 PC=0000029c IADDR=0000029c IRDATA=00000013 INSTR=00000013
t=1695000 PC=000002a0 IADDR=000002a0 IRDATA=00000013 INSTR=00000013
t=1705000 PC=000002a4 IADDR=000002a4 IRDATA=00000013 INSTR=00000013
t=1715000 PC=000002a8 IADDR=000002a8 IRDATA=00000013 INSTR=00000013
t=1725000 PC=000002ac IADDR=000002ac IRDATA=00000013 INSTR=00000013
t=1735000 PC=000002b0 IADDR=000002b0 IRDATA=00000013 INSTR=00000013
t=1745000 PC=000002b4 IADDR=000002b4 IRDATA=00000013 INSTR=00000013
t=1755000 PC=000002b8 IADDR=000002b8 IRDATA=00000013 INSTR=00000013
t=1765000 PC=000002bc IADDR=000002bc IRDATA=00000013 INSTR=00000013
t=1775000 PC=000002c0 IADDR=000002c0 IRDATA=00000013 INSTR=00000013
t=1785000 PC=000002c4 IADDR=000002c4 IRDATA=00000013 INSTR=00000013
t=1795000 PC=000002c8 IADDR=000002c8 IRDATA=00000013 INSTR=00000013
t=1805000 PC=000002cc IADDR=000002cc IRDATA=00000013 INSTR=00000013
t=1815000 PC=000002d0 IADDR=000002d0 IRDATA=00000013 INSTR=00000013
t=1825000 PC=000002d4 IADDR=000002d4 IRDATA=00000013 INSTR=00000013
t=1835000 PC=000002d8 IADDR=000002d8 IRDATA=00000013 INSTR=00000013
t=1845000 PC=000002dc IADDR=000002dc IRDATA=00000013 INSTR=00000013
t=1855000 PC=000002e0 IADDR=000002e0 IRDATA=00000013 INSTR=00000013
t=1865000 PC=000002e4 IADDR=000002e4 IRDATA=00000013 INSTR=00000013
t=1875000 PC=000002e8 IADDR=000002e8 IRDATA=00000013 INSTR=00000013
t=1885000 PC=000002ec IADDR=000002ec IRDATA=00000013 INSTR=00000013
t=1895000 PC=000002f0 IADDR=000002f0 IRDATA=00000013 INSTR=00000013
t=1905000 PC=000002f4 IADDR=000002f4 IRDATA=00000013 INSTR=00000013
t=1915000 PC=000002f8 IADDR=000002f8 IRDATA=00000013 INSTR=00000013
t=1925000 PC=000002fc IADDR=000002fc IRDATA=00000013 INSTR=00000013
t=1935000 PC=00000300 IADDR=00000300 IRDATA=00000013 INSTR=00000013
t=1945000 PC=00000304 IADDR=00000304 IRDATA=00000013 INSTR=00000013
t=1955000 PC=00000308 IADDR=00000308 IRDATA=00000013 INSTR=00000013
t=1965000 PC=0000030c IADDR=0000030c IRDATA=00000013 INSTR=00000013
t=1975000 PC=00000310 IADDR=00000310 IRDATA=00000013 INSTR=00000013
t=1985000 PC=00000314 IADDR=00000314 IRDATA=00000013 INSTR=00000013
t=1995000 PC=00000318 IADDR=00000318 IRDATA=00000013 INSTR=00000013
t=2005000 PC=0000031c IADDR=0000031c IRDATA=00000013 INSTR=00000013
t=2015000 PC=00000320 IADDR=00000320 IRDATA=00000013 INSTR=00000013
t=2025000 PC=00000324 IADDR=00000324 IRDATA=00000013 INSTR=00000013
t=2035000 PC=00000328 IADDR=00000328 IRDATA=00000013 INSTR=00000013
t=2045000 PC=0000032c IADDR=0000032c IRDATA=00000013 INSTR=00000013
t=2055000 PC=00000330 IADDR=00000330 IRDATA=00000013 INSTR=00000013
t=2065000 PC=00000334 IADDR=00000334 IRDATA=00000013 INSTR=00000013
t=2075000 PC=00000338 IADDR=00000338 IRDATA=00000013 INSTR=00000013
t=2085000 PC=0000033c IADDR=0000033c IRDATA=00000013 INSTR=00000013
t=2095000 PC=00000340 IADDR=00000340 IRDATA=00000013 INSTR=00000013
t=2105000 PC=00000344 IADDR=00000344 IRDATA=00000013 INSTR=00000013
t=2115000 PC=00000348 IADDR=00000348 IRDATA=00000013 INSTR=00000013
t=2125000 PC=0000034c IADDR=0000034c IRDATA=00000013 INSTR=00000013
t=2135000 PC=00000350 IADDR=00000350 IRDATA=00000013 INSTR=00000013
t=2145000 PC=00000354 IADDR=00000354 IRDATA=00000013 INSTR=00000013
t=2155000 PC=00000358 IADDR=00000358 IRDATA=00000013 INSTR=00000013
t=2165000 PC=0000035c IADDR=0000035c IRDATA=00000013 INSTR=00000013
t=2175000 PC=00000360 IADDR=00000360 IRDATA=00000013 INSTR=00000013
t=2185000 PC=00000364 IADDR=00000364 IRDATA=00000013 INSTR=00000013
t=2195000 PC=00000368 IADDR=00000368 IRDATA=00000013 INSTR=00000013
t=2205000 PC=0000036c IADDR=0000036c IRDATA=00000013 INSTR=00000013
t=2215000 PC=00000370 IADDR=00000370 IRDATA=00000013 INSTR=00000013
t=2225000 PC=00000374 IADDR=00000374 IRDATA=00000013 INSTR=00000013
t=2235000 PC=00000378 IADDR=00000378 IRDATA=00000013 INSTR=00000013
t=2245000 PC=0000037c IADDR=0000037c IRDATA=00000013 INSTR=00000013
t=2255000 PC=00000380 IADDR=00000380 IRDATA=00000013 INSTR=00000013
t=2265000 PC=00000384 IADDR=00000384 IRDATA=00000013 INSTR=00000013
t=2275000 PC=00000388 IADDR=00000388 IRDATA=00000013 INSTR=00000013
t=2285000 PC=0000038c IADDR=0000038c IRDATA=00000013 INSTR=00000013
t=2295000 PC=00000390 IADDR=00000390 IRDATA=00000013 INSTR=00000013
t=2305000 PC=00000394 IADDR=00000394 IRDATA=00000013 INSTR=00000013
t=2315000 PC=00000398 IADDR=00000398 IRDATA=00000013 INSTR=00000013
t=2325000 PC=0000039c IADDR=0000039c IRDATA=00000013 INSTR=00000013
t=2335000 PC=000003a0 IADDR=000003a0 IRDATA=00000013 INSTR=00000013
t=2345000 PC=000003a4 IADDR=000003a4 IRDATA=00000013 INSTR=00000013
t=2355000 PC=000003a8 IADDR=000003a8 IRDATA=00000013 INSTR=00000013
t=2365000 PC=000003ac IADDR=000003ac IRDATA=00000013 INSTR=00000013
t=2375000 PC=000003b0 IADDR=000003b0 IRDATA=00000013 INSTR=00000013
t=2385000 PC=000003b4 IADDR=000003b4 IRDATA=00000013 INSTR=00000013
t=2395000 PC=000003b8 IADDR=000003b8 IRDATA=00000013 INSTR=00000013
t=2405000 PC=000003bc IADDR=000003bc IRDATA=00000013 INSTR=00000013
t=2415000 PC=000003c0 IADDR=000003c0 IRDATA=00000013 INSTR=00000013
t=2425000 PC=000003c4 IADDR=000003c4 IRDATA=00000013 INSTR=00000013
t=2435000 PC=000003c8 IADDR=000003c8 IRDATA=00000013 INSTR=00000013
t=2445000 PC=000003cc IADDR=000003cc IRDATA=00000013 INSTR=00000013
t=2455000 PC=000003d0 IADDR=000003d0 IRDATA=00000013 INSTR=00000013
t=2465000 PC=000003d4 IADDR=000003d4 IRDATA=00000013 INSTR=00000013
t=2475000 PC=000003d8 IADDR=000003d8 IRDATA=00000013 INSTR=00000013
t=2485000 PC=000003dc IADDR=000003dc IRDATA=00000013 INSTR=00000013
t=2495000 PC=000003e0 IADDR=000003e0 IRDATA=00000013 INSTR=00000013
t=2505000 PC=000003e4 IADDR=000003e4 IRDATA=00000013 INSTR=00000013
t=2515000 PC=000003e8 IADDR=000003e8 IRDATA=00000013 INSTR=00000013
t=2525000 PC=000003ec IADDR=000003ec IRDATA=00000013 INSTR=00000013
t=2535000 PC=000003f0 IADDR=000003f0 IRDATA=00000013 INSTR=00000013
t=2545000 PC=000003f4 IADDR=000003f4 IRDATA=00000013 INSTR=00000013
t=2555000 PC=000003f8 IADDR=000003f8 IRDATA=00000013 INSTR=00000013
t=2565000 PC=000003fc IADDR=000003fc IRDATA=00000013 INSTR=00000013
t=2575000 PC=00000400 IADDR=00000400 IRDATA=000030b7 INSTR=000030b7
t=2585000 PC=00000404 IADDR=00000404 IRDATA=00100113 INSTR=00100113
t=2595000 PC=00000408 IADDR=00000408 IRDATA=0020a423 INSTR=0020a423
t=2605000 PC=0000040c IADDR=0000040c IRDATA=00000013 INSTR=00000013
t=2615000 PC=00000410 IADDR=00000410 IRDATA=00000013 INSTR=00000013
t=2625000 PC=00000414 IADDR=00000414 IRDATA=00000013 INSTR=00000013
t=2635000 PC=00000418 IADDR=00000418 IRDATA=00000013 INSTR=00000013
t=2645000 PC=0000041c IADDR=0000041c IRDATA=00000013 INSTR=00000013
t=2655000 PC=00000420 IADDR=00000420 IRDATA=00000013 INSTR=00000013
t=2665000 PC=00000424 IADDR=00000424 IRDATA=00000013 INSTR=00000013
t=2675000 PC=00000428 IADDR=00000428 IRDATA=00000013 INSTR=00000013
t=2685000 PC=0000042c IADDR=0000042c IRDATA=00000013 INSTR=00000013
t=2695000 PC=00000430 IADDR=00000430 IRDATA=00000013 INSTR=00000013
t=2705000 PC=00000434 IADDR=00000434 IRDATA=00000013 INSTR=00000013
t=2715000 PC=00000438 IADDR=00000438 IRDATA=00000013 INSTR=00000013
t=2725000 PC=0000043c IADDR=0000043c IRDATA=00000013 INSTR=00000013
t=2735000 PC=00000440 IADDR=00000440 IRDATA=00000013 INSTR=00000013
t=2745000 PC=00000444 IADDR=00000444 IRDATA=00000013 INSTR=00000013
t=2755000 PC=00000448 IADDR=00000448 IRDATA=00000013 INSTR=00000013
t=2765000 PC=0000044c IADDR=0000044c IRDATA=00000013 INSTR=00000013
t=2775000 PC=00000450 IADDR=00000450 IRDATA=00000013 INSTR=00000013
t=2785000 PC=00000454 IADDR=00000454 IRDATA=00000013 INSTR=00000013
t=2795000 PC=00000458 IADDR=00000458 IRDATA=00000013 INSTR=00000013
t=2805000 PC=0000045c IADDR=0000045c IRDATA=00000013 INSTR=00000013
t=2815000 PC=00000460 IADDR=00000460 IRDATA=00000013 INSTR=00000013
t=2825000 PC=00000464 IADDR=00000464 IRDATA=00000013 INSTR=00000013
t=2835000 PC=00000468 IADDR=00000468 IRDATA=00000013 INSTR=00000013
t=2845000 PC=0000046c IADDR=0000046c IRDATA=00000013 INSTR=00000013
t=2855000 PC=00000470 IADDR=00000470 IRDATA=00000013 INSTR=00000013
t=2865000 PC=00000474 IADDR=00000474 IRDATA=00000013 INSTR=00000013
t=2875000 PC=00000478 IADDR=00000478 IRDATA=00000013 INSTR=00000013
t=2885000 PC=0000047c IADDR=0000047c IRDATA=00000013 INSTR=00000013
t=2895000 PC=00000480 IADDR=00000480 IRDATA=00000013 INSTR=00000013
t=2905000 PC=00000484 IADDR=00000484 IRDATA=00000013 INSTR=00000013
t=2915000 PC=00000488 IADDR=00000488 IRDATA=00000013 INSTR=00000013
t=2925000 PC=0000048c IADDR=0000048c IRDATA=00000013 INSTR=00000013
t=2935000 PC=00000490 IADDR=00000490 IRDATA=00000013 INSTR=00000013
t=2945000 PC=00000494 IADDR=00000494 IRDATA=00000013 INSTR=00000013
t=2955000 PC=00000498 IADDR=00000498 IRDATA=00000013 INSTR=00000013
t=2965000 PC=0000049c IADDR=0000049c IRDATA=00000013 INSTR=00000013
t=2975000 PC=000004a0 IADDR=000004a0 IRDATA=00000013 INSTR=00000013
t=2985000 PC=000004a4 IADDR=000004a4 IRDATA=00000013 INSTR=00000013
t=2995000 PC=000004a8 IADDR=000004a8 IRDATA=00000013 INSTR=00000013
t=3005000 PC=000004ac IADDR=000004ac IRDATA=00000013 INSTR=00000013
t=3015000 PC=000004b0 IADDR=000004b0 IRDATA=00000013 INSTR=00000013
t=3025000 PC=000004b4 IADDR=000004b4 IRDATA=00000013 INSTR=00000013
t=3035000 PC=000004b8 IADDR=000004b8 IRDATA=00000013 INSTR=00000013
t=3045000 PC=000004bc IADDR=000004bc IRDATA=00000013 INSTR=00000013
t=3055000 PC=000004c0 IADDR=000004c0 IRDATA=00000013 INSTR=00000013
