VCD info: dumpfile soc_top_tb.vcd opened for output.
[TB] Applying System Reset Initialization...
Time=1610ns | PC=0x00000130 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=1630ns | PC=0x00000134 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=1650ns | PC=0x00000138 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=1670ns | PC=0x0000013c | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=1690ns | PC=0x00000140 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=1710ns | PC=0x00000144 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=1730ns | PC=0x00000148 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=1750ns | PC=0x0000014c | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=1770ns | PC=0x00000150 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=1790ns | PC=0x00000154 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=1810ns | PC=0x00000158 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=1830ns | PC=0x0000015c | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=1850ns | PC=0x00000160 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=1870ns | PC=0x00000164 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=1890ns | PC=0x00000168 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=1910ns | PC=0x0000016c | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=1930ns | PC=0x00000170 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=1950ns | PC=0x00000174 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=1970ns | PC=0x00000178 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=1990ns | PC=0x0000017c | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=2010ns | PC=0x00000180 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=2030ns | PC=0x00000184 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=2050ns | PC=0x00000188 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=2070ns | PC=0x0000018c | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=2090ns | PC=0x00000190 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=2110ns | PC=0x00000194 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=2130ns | PC=0x00000198 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=2150ns | PC=0x0000019c | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=2170ns | PC=0x000001a0 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=2190ns | PC=0x000001a4 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=2210ns | PC=0x000001a8 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=2230ns | PC=0x000001ac | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=2250ns | PC=0x000001b0 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=2270ns | PC=0x000001b4 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=2290ns | PC=0x000001b8 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=2310ns | PC=0x000001bc | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=2330ns | PC=0x000001c0 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=2350ns | PC=0x000001c4 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=2370ns | PC=0x000001c8 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=2390ns | PC=0x000001cc | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=2410ns | PC=0x000001d0 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=2430ns | PC=0x000001d4 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
[UART RX] Byte injection completed.
Time=2450ns | PC=0x000001d8 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=2470ns | PC=0x000001dc | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=2490ns | PC=0x000001e0 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=2510ns | PC=0x000001e4 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=2530ns | PC=0x000001e8 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
